Loan_ID,Customer_ID,Loan_Amount,Interest_Rate,Start_Date,End_Date,NPL_Status,Remaining_Debt
180,20406,169815423,26.5,2022-04-20,2025-06-30,Yo‘q,24965497.56
181,20035,477335281,11.0,2024-06-07,2028-03-01,Yo‘q,172067841.63
182,31925,298598238,10.8,2022-12-24,2027-03-30,Ha,224203540.35
183,15003,402272995,23.2,2021-04-21,2025-06-11,Yo‘q,174852994.45
184,8551,136396723,17.9,2022-01-19,2023-11-03,Yo‘q,57478889.63
185,39817,230444234,22.1,2024-03-12,2025-12-26,Yo‘q,96310460.08
186,1388,131363260,21.5,2021-02-14,2024-12-29,Yo‘q,38077883.62
187,3672,2255498,23.2,2023-03-05,2028-02-03,Ha,1746057.13
188,44738,295986835,12.6,2021-10-24,2026-06-16,Yo‘q,83767738.55
189,10641,273251876,23.0,2021-09-25,2022-12-03,Yo‘q,102939987.98
190,7629,343756795,18.0,2022-10-29,2026-01-06,Yo‘q,153014436.1
191,7795,19294716,24.8,2023-02-25,2024-08-15,Yo‘q,778594.08
192,19529,56668090,20.1,2020-10-12,2024-06-16,Ha,50929563.09
193,8944,245046697,14.6,2022-10-09,2025-12-16,Yo‘q,6968065.01
194,7419,19976788,28.2,2023-06-23,2025-04-15,Yo‘q,9786063.36
195,5998,459644724,11.0,2022-03-11,2023-10-19,Yo‘q,31128342.84
196,13342,110806734,23.9,2021-02-09,2022-11-08,Yo‘q,38677171.78
197,38212,495214370,22.6,2023-03-07,2025-05-10,Yo‘q,112074395.44
198,19262,435866640,20.3,2021-04-05,2025-07-07,Yo‘q,41940141.85
199,18579,137898618,29.9,2023-12-18,2025-07-23,Yo‘q,49613774.94
200,3078,280956289,27.6,2023-03-24,2025-01-13,Yo‘q,115194186.76
201,37401,376103577,29.1,2021-07-12,2023-09-11,Yo‘q,110241308.11
202,29828,140132245,19.3,2021-10-16,2024-07-21,Yo‘q,62942229.67
203,3114,32335066,26.8,2020-02-08,2023-10-19,Yo‘q,15010837.07
204,20948,249832366,14.9,2021-08-04,2022-09-16,Yo‘q,58336457.18
205,47719,336002937,13.6,2022-08-21,2027-03-23,Yo‘q,4872353.52
206,38963,264448624,24.5,2021-10-04,2024-10-08,Yo‘q,124969393.43
207,3991,75860907,25.4,2020-12-25,2024-06-29,Yo‘q,24960070.21
208,47259,206537067,19.9,2023-12-13,2028-10-31,Yo‘q,42172927.55
209,6316,445566932,29.7,2022-01-16,2025-01-15,Yo‘q,68540574.85
210,11300,444024598,29.6,2020-05-17,2022-09-28,Ha,268259087.35
211,9039,493904920,18.6,2020-01-06,2024-07-25,Yo‘q,106256023.1
212,40808,1481356,20.2,2022-05-24,2026-12-20,Yo‘q,354466.57
213,41950,355016202,10.1,2021-10-14,2026-03-04,Ha,209812609.86
214,45031,432537092,24.1,2022-11-25,2026-02-01,Yo‘q,65374962.19
215,28814,140678549,29.2,2022-09-05,2026-03-06,Yo‘q,54763140.41
216,9053,179583510,19.6,2024-05-18,2028-02-24,Yo‘q,31618719.32
217,31081,473841570,16.3,2020-09-28,2022-06-16,Ha,332892362.66
218,20136,312249706,10.5,2021-02-15,2023-12-01,Yo‘q,84934571.32
219,47783,46507316,13.3,2020-12-18,2024-05-26,Yo‘q,11660643.53
220,11976,339199280,17.5,2024-05-22,2027-03-08,Yo‘q,28795466.82
221,45905,498544378,21.5,2022-03-03,2024-11-30,Yo‘q,17657240.94
222,18952,122267298,23.7,2022-11-30,2024-07-04,Yo‘q,21806336.42
223,31527,443631600,27.3,2021-09-28,2023-07-22,Yo‘q,109487791.1
224,507,70045153,20.5,2023-08-29,2025-06-08,Yo‘q,8428652.88
225,41283,1638744,29.4,2022-12-21,2024-05-08,Yo‘q,297550.23
226,22698,314884822,27.5,2020-05-25,2023-03-11,Yo‘q,26387076.19
227,18438,48467472,16.7,2022-02-22,2024-01-02,Yo‘q,2059265.31
228,22567,426653010,21.3,2020-07-31,2025-05-18,Yo‘q,91342486.25
229,23326,241404094,20.6,2022-08-18,2024-07-30,Yo‘q,69864026.04
230,29097,167307028,17.0,2023-09-28,2025-02-01,Yo‘q,59566931.29
231,13090,427701190,19.1,2020-01-01,2023-05-24,Yo‘q,17585932.86
232,20706,401993333,24.0,2020-08-11,2023-10-20,Yo‘q,150552885.15
233,3709,224532582,24.1,2024-02-02,2027-11-25,Yo‘q,76894883.88
234,1703,393966981,26.8,2022-04-27,2025-01-09,Yo‘q,71237765.2
235,39631,262343205,25.9,2023-10-24,2026-09-30,Yo‘q,101535642.87
236,5309,417682650,14.0,2024-03-10,2029-02-24,Yo‘q,174631650.34
237,39368,337360271,14.4,2022-10-09,2025-11-18,Yo‘q,73502785.35
238,2578,149526540,12.6,2023-01-21,2025-02-23,Ha,128453925.45
239,24594,114416123,22.3,2022-07-24,2027-06-26,Yo‘q,25516674.71
240,1808,256678194,16.2,2022-10-14,2027-05-23,Yo‘q,87528835.41
241,31506,287673375,15.6,2021-03-07,2025-07-07,Yo‘q,10511000.66
242,9979,77765283,21.4,2023-03-11,2026-09-14,Yo‘q,7129638.81
243,48719,429416756,13.0,2024-02-14,2028-08-12,Yo‘q,91222399.22
244,41537,291168372,15.7,2022-11-28,2026-04-26,Yo‘q,119958055.71
245,30893,369831950,21.1,2021-07-10,2023-12-16,Yo‘q,105390852.91
246,23782,456538270,19.1,2021-04-28,2026-01-30,Yo‘q,26974246.37
247,45112,281412565,13.2,2024-03-08,2026-08-06,Yo‘q,81016121.65
248,14061,156449347,15.2,2021-10-11,2026-09-20,Yo‘q,6095888.88
249,4441,318154470,23.7,2020-11-17,2025-11-07,Yo‘q,120036315.92
250,33535,15697499,22.9,2022-06-22,2026-05-21,Yo‘q,398297.01
251,47136,158663906,24.0,2024-05-16,2029-03-21,Ha,88578481.3
252,26758,16041498,25.6,2020-06-27,2025-01-28,Yo‘q,7149890.41
253,22259,89842302,18.1,2020-11-18,2024-07-12,Yo‘q,26960275.26
254,1388,201721476,20.7,2023-06-30,2025-10-27,Yo‘q,52139923.68
255,40102,439644080,28.0,2022-12-30,2027-11-22,Yo‘q,139176325.87
256,26540,347519610,28.8,2023-11-12,2024-12-26,Ha,210258618.71
257,5358,78294562,18.8,2020-02-10,2021-12-27,Ha,44968602.53
258,47333,476716312,28.5,2022-07-27,2026-05-29,Yo‘q,71634618.64
259,8855,67250243,15.1,2021-08-17,2023-10-27,Yo‘q,16977559.2
260,27043,460783509,21.8,2024-03-06,2027-03-06,Yo‘q,179049099.28
261,21595,228215278,17.1,2022-11-05,2025-03-25,Yo‘q,76136989.57
262,11592,234520229,19.2,2022-06-28,2025-06-27,Yo‘q,109877255.03
263,13391,322620866,12.5,2023-04-10,2026-03-11,Yo‘q,142763723.07
264,31134,4488219,15.1,2021-01-23,2024-05-21,Yo‘q,619195.02
265,35919,32581416,10.4,2023-01-18,2027-05-05,Ha,23503442.37
266,11213,271267010,28.2,2020-03-22,2023-03-31,Yo‘q,107978696.71
267,7383,188121230,16.8,2024-06-07,2026-01-04,Yo‘q,48627274.85
268,35036,110107639,23.9,2022-02-19,2026-03-24,Yo‘q,51075358.44
269,34712,37153240,16.1,2023-03-13,2026-05-08,Ha,19917600.76
270,49470,360974600,18.7,2021-06-10,2022-07-11,Yo‘q,30681259.36
271,19897,403061043,13.2,2020-07-16,2022-06-06,Ha,220394176.47
272,238,250411458,10.3,2020-11-25,2025-06-20,Yo‘q,14194924.67
273,15602,104090663,19.0,2021-03-14,2024-08-13,Yo‘q,33272325.19
274,21126,481355479,19.2,2020-02-08,2023-04-15,Yo‘q,129938532.92
275,15390,497490176,22.5,2020-12-21,2025-09-24,Yo‘q,10723580.05
276,23224,341266414,12.3,2024-02-22,2027-07-06,Yo‘q,143775612.6
277,10488,482495397,21.0,2021-09-07,2022-10-22,Yo‘q,211247932.73
278,1278,454335550,13.7,2020-11-16,2023-04-08,Ha,253292730.01
279,207,53398164,27.6,2022-08-19,2025-02-06,Yo‘q,1400516.91
280,30052,256980520,12.2,2021-07-08,2026-02-15,Yo‘q,102182732.58
281,2168,328752218,12.5,2021-12-13,2024-07-08,Yo‘q,99358601.91
282,38011,161999622,19.8,2022-03-31,2023-10-24,Yo‘q,75654453.4
283,3993,151103602,12.8,2020-01-07,2021-01-08,Yo‘q,24801224.89
284,45799,146317306,10.2,2023-07-14,2025-12-25,Yo‘q,29554285.42
285,47481,273095357,14.3,2021-02-03,2024-09-30,Yo‘q,118744838.56
286,7402,7818592,22.8,2020-10-06,2023-10-07,Ha,7333594.29
287,45902,415917308,21.1,2024-04-15,2026-07-27,Yo‘q,207603642.23
288,20084,375071561,20.2,2021-10-10,2026-09-25,Yo‘q,61986297.37
289,5227,416696598,17.0,2023-06-20,2026-05-28,Yo‘q,83103111.49
290,12454,456284966,23.0,2024-02-13,2026-09-05,Ha,305776996.01
291,36538,149827561,26.8,2022-07-30,2027-05-11,Yo‘q,18018167.81
292,39855,58819785,23.0,2020-01-17,2021-06-25,Yo‘q,23008248.24
293,30138,343868325,13.6,2021-04-18,2025-08-21,Yo‘q,153191022.91
294,46144,43291340,29.3,2021-01-31,2023-01-24,Yo‘q,16417532.11
295,4161,318889792,28.4,2022-05-30,2025-07-05,Yo‘q,26206296.81
296,29819,387028530,21.3,2022-08-04,2026-06-09,Yo‘q,95206667.83
297,32020,421468912,16.8,2021-04-25,2022-09-08,Ha,292271109.66
298,44702,167776066,22.8,2023-01-07,2024-10-03,Yo‘q,45026493.08
299,48799,207945532,20.9,2021-12-10,2025-12-03,Yo‘q,91174819.42
300,29833,331205503,21.8,2022-01-02,2023-01-07,Yo‘q,118106243.19
301,48420,69147994,10.2,2024-02-16,2026-04-07,Yo‘q,27305920.67
302,44488,399120033,11.3,2023-05-02,2027-09-19,Yo‘q,11866056.48
303,11807,124281516,18.7,2020-09-25,2022-07-30,Yo‘q,22530745.68
304,10597,413317289,19.6,2020-08-09,2023-05-26,Yo‘q,128760908.38
305,32649,464034165,15.7,2020-11-01,2024-02-16,Yo‘q,195350502.39
306,2615,393058667,26.9,2023-06-26,2027-03-01,Yo‘q,179921239.56
307,25273,359855902,18.0,2022-03-20,2025-02-02,Ha,301435422.95
308,14960,115844175,13.4,2022-01-02,2026-09-07,Ha,99395043.21
309,4265,332131348,13.1,2021-02-05,2024-10-26,Yo‘q,66073209.19
310,27433,380630640,21.0,2022-04-12,2023-05-06,Ha,320320809.12
311,31815,124575291,16.3,2020-01-03,2023-10-03,Yo‘q,7103533.75
312,49166,451402088,24.4,2024-06-22,2027-09-26,Ha,408816795.39
313,7682,498407717,17.6,2022-11-08,2025-06-08,Yo‘q,15545077.94
314,34226,1437345,10.9,2022-04-03,2023-08-12,Ha,1190875.93
315,35033,398607528,27.5,2021-09-08,2026-04-10,Yo‘q,32988438.04
316,34506,315603546,10.8,2023-01-27,2026-07-09,Yo‘q,26955991.81
317,29267,103100833,10.4,2023-05-22,2024-11-08,Ha,62712414.13
318,46108,59225405,12.9,2023-04-02,2024-12-22,Yo‘q,7975906.68
319,6629,191525202,14.6,2024-02-06,2028-12-27,Yo‘q,4155850.47
320,23525,205512841,22.3,2024-02-10,2026-01-07,Yo‘q,40074390.63
321,31615,323436887,28.6,2024-01-13,2026-07-10,Yo‘q,34724801.17
322,39744,228477002,15.7,2024-03-23,2027-09-09,Yo‘q,23013736.02
323,8614,197960910,24.5,2023-02-03,2027-03-07,Yo‘q,33300822.73
324,11985,462300469,26.4,2021-02-05,2023-03-25,Yo‘q,214696630.71
325,1028,396619636,28.2,2022-05-19,2026-10-23,Ha,347780937.56
326,34094,497546990,22.3,2024-02-21,2027-10-29,Yo‘q,157441533.21
327,13469,489748704,18.4,2021-09-30,2024-02-22,Yo‘q,227761263.17
328,27703,446782416,27.7,2022-07-12,2024-04-16,Yo‘q,189612837.89
329,13721,459171888,21.2,2021-06-30,2026-04-08,Yo‘q,96191122.92
330,23570,180325240,19.0,2022-12-01,2026-03-21,Yo‘q,26106787.79
331,25175,235035458,22.4,2021-07-30,2024-07-10,Yo‘q,43706696.12
332,24245,36253661,19.3,2020-02-28,2023-09-21,Yo‘q,11137838.46
333,43900,229967815,15.5,2022-07-11,2026-05-17,Yo‘q,66078261.95
334,42924,359569779,11.4,2022-01-10,2023-11-12,Yo‘q,149021667.09
335,1653,142278424,19.8,2023-12-01,2025-04-19,Ha,124942858.8
336,8242,83125755,22.1,2023-01-18,2026-09-19,Yo‘q,19729555.08
337,8869,275140873,28.7,2020-05-29,2022-10-25,Yo‘q,100439228.54
338,35332,159146656,12.8,2024-06-08,2025-08-21,Yo‘q,20869230.67
339,401,437087818,14.8,2020-08-03,2022-12-22,Yo‘q,47124206.17
340,41654,469455742,11.2,2022-02-06,2025-08-16,Yo‘q,156590111.95
341,16572,204740673,12.4,2020-05-21,2024-07-23,Yo‘q,36691425.32
342,46561,138275085,21.7,2020-03-07,2023-02-11,Ha,121583135.7
343,49999,301542246,10.9,2022-11-27,2027-10-31,Ha,160037010.69
344,2529,320853348,16.9,2022-03-08,2025-03-30,Yo‘q,64325690.85
345,15857,40809967,22.5,2023-05-21,2025-03-12,Yo‘q,12837677.32
346,9761,18097322,28.3,2023-09-09,2025-01-11,Yo‘q,2138690.92
347,8067,479427013,17.0,2024-04-19,2027-12-25,Yo‘q,6525831.96
348,9963,425537514,16.6,2021-09-25,2024-11-10,Yo‘q,97317617.86
349,19259,427460662,27.5,2024-02-20,2025-02-19,Yo‘q,147431636.33
350,27667,156203667,24.3,2020-05-04,2022-06-30,Yo‘q,24096247.46
351,7873,170642725,25.1,2022-05-25,2027-01-06,Yo‘q,10253357.98
